,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
37,RLRAM,2,0,5.371926722,p_1,0.5,gateway,3,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
38,RLRAM,2,0,5.371926722,p_1,0.5,running,3,1_check_budget_approval,,1X_SHARED,5.606043053,
39,RLRAM,2,0,5.606043053,p_1,0.5,gateway,3,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
40,RLRAM,2,0,5.606043053,p_1,0.5,running,3,1_budget_approve,,X_SHARED,5.947141293,
41,RLRAM,2,0,5.947141293,p_1,0.5,running,3,1_supervisor_approve,,X_SHARED,6.227600042,
42,RLRAM,2,0,6.227600042,p_1,0.5,running,3,1_handle_payment,,X_SHARED,8.671013074,
43,RLRAM,2,0,6.344715434,p_2,0.5,START,6,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
44,RLRAM,2,0,6.344715434,p_2,0.5,running,6,2_submit_request,,1employee1,8.396783602,
45,RLRAM,2,0,6.507074939,p_1,0.5,START,7,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
46,RLRAM,2,0,6.685338173,p_1,0.5,gateway,4,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
47,RLRAM,2,0,6.685338173,p_1,0.5,running,4,1_check_budget_approval,,1X_SHARED,7.922316518,
48,RLRAM,2,0,7.058626024,p_1,0.5,running,7,1_submit_request,,1employee,7.590032288,
49,RLRAM,2,0,7.058626024,p_1,0.5,running,5,1_check_request,,12admin1,8.109763471,
50,RLRAM,2,0,7.590032288,p_1,0.5,running,7,1_check_request,,112admin0,7.862382296,
51,RLRAM,2,0,7.862382296,p_1,0.5,gateway,7,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
52,RLRAM,2,0,7.922316518,p_1,0.5,gateway,4,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
53,RLRAM,2,0,7.922316518,p_1,0.5,running,7,1_check_budget_approval,,1X_SHARED,8.008095998,
54,RLRAM,2,0,7.922316518,p_1,0.5,running,4,1_supervisor_approve,,1supervisor2,7.980231516,
55,RLRAM,2,0,7.980231516,p_1,0.5,running,4,1_handle_payment,,12accounting0,8.51100674,
56,RLRAM,2,0,8.008095998,p_1,0.5,gateway,7,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
57,RLRAM,2,0,8.109763471,p_1,0.5,gateway,5,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
58,RLRAM,2,0,8.109763471,p_1,0.5,running,7,1_budget_approve,,1budget_owner2,9.19858751,
59,RLRAM,2,0,8.109763471,p_1,0.5,running,5,1_check_budget_approval,,1X_SHARED,8.546942726,
60,RLRAM,2,0,8.194827473,p_2,0.5,START,8,2_start,"{'2_approval_flow': '2_submit_request', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
61,RLRAM,2,0,8.396783602,p_2,0.5,running,8,2_submit_request,,1employee1,11.10881381,
62,RLRAM,2,0,8.396783602,p_2,0.5,running,6,2_check_request,,12admin1,10.22129613,
63,RLRAM,2,0,8.51100674,p_1,0.5,gateway,4,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
64,RLRAM,2,0,8.51100674,p_1,0.5,COMPLETE,4,1_END,,,,3.534428721
65,RLRAM,2,0,8.546942726,p_1,0.5,gateway,5,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
66,RLRAM,2,0,8.671013074,p_1,0.5,gateway,3,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
67,RLRAM,2,0,8.671013074,p_1,0.5,running,5,1_supervisor_approve,,X_SHARED,9.988254862,
68,RLRAM,2,0,8.671013074,p_1,0.5,COMPLETE,3,1_END,,,,4.21695849
69,RLRAM,2,0,9.734626276,p_1,0.5,START,9,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
70,RLRAM,2,0,9.734626276,p_1,0.5,running,7,1_supervisor_approve,,1supervisor2,14.02050099,
71,RLRAM,2,0,9.734626276,p_1,0.5,running,9,1_submit_request,,1employee,11.09818578,
72,RLRAM,2,0,9.988254862,p_1,0.5,running,5,1_handle_payment,,X_SHARED,10.69688463,
73,RLRAM,2,0,10.05573767,p_1,0.5,gateway,2,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_handle_payment'}",,,
74,RLRAM,2,0,10.05573767,p_1,0.5,COMPLETE,2,1_END,,,,6.590197957
75,RLRAM,2,0,10.22129613,p_2,0.5,gateway,6,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
76,RLRAM,2,0,10.22129613,p_2,0.5,running,6,2_check_budget_approval,,112admin1,10.45350691,
77,RLRAM,2,0,10.45350691,p_2,0.5,gateway,6,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
78,RLRAM,2,0,10.69688463,p_1,0.5,gateway,5,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
79,RLRAM,2,0,10.69688463,p_1,0.5,COMPLETE,5,1_END,,,,5.396297005
80,RLRAM,2,0,11.09818578,p_1,0.5,running,9,1_check_request,,12admin1,12.90767041,
81,RLRAM,2,0,11.09818578,p_2,0.5,running,6,2_supervisor_approve,,1supervisor1,12.08069375,
82,RLRAM,2,0,11.10881381,p_2,0.5,running,8,2_check_request,,X_SHARED,11.10932867,
83,RLRAM,2,0,11.10932867,p_2,0.5,gateway,8,2_XOR_admin_decision,"{'2_approval_flow': '2_submit_request', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
84,RLRAM,2,0,11.10932867,p_2,0.5,running,8,2_check_budget_approval,,X_SHARED,11.12703069,
85,RLRAM,2,0,11.12703069,p_2,0.5,gateway,8,2_XOR_budget_check,"{'2_approval_flow': '2_submit_request', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
86,RLRAM,2,0,12.08069375,p_2,0.5,running,6,2_handle_payment,,12accounting1,12.90184313,
87,RLRAM,2,0,12.08069375,p_2,0.5,running,8,2_supervisor_approve,,1X_SHARED,12.32871965,
88,RLRAM,2,0,12.15932833,p_2,0.5,START,10,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_handle_payment'}",,,
89,RLRAM,2,0,12.15932833,p_2,0.5,running,10,2_submit_request,,1employee1,15.78453616,
90,RLRAM,2,0,12.32871965,p_2,0.5,running,8,2_handle_payment,,1X_SHARED,12.46613453,
91,RLRAM,2,0,12.46613453,p_2,0.5,gateway,8,2_XOR_payment_check,"{'2_approval_flow': '2_submit_request', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
92,RLRAM,2,0,12.46613453,p_2,0.5,COMPLETE,8,2_END,,,,4.271307059
93,RLRAM,2,0,12.90184313,p_2,0.5,gateway,6,2_XOR_payment_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
94,RLRAM,2,0,12.90184313,p_2,0.5,COMPLETE,6,2_END,,,,6.557127696
95,RLRAM,2,0,12.90767041,p_1,0.5,gateway,9,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
96,RLRAM,2,0,12.90767041,p_1,0.5,running,9,1_check_budget_approval,,1X_SHARED,14.76087291,
97,RLRAM,2,0,13.18998088,p_1,0.5,START,11,1_start,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
98,RLRAM,2,0,13.73120674,p_2,0.5,START,12,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
99,RLRAM,2,0,13.73120674,p_1,0.5,running,11,1_submit_request,,1employee,14.27881669,
100,RLRAM,2,0,14.02050099,p_1,0.5,running,7,1_handle_payment,,12accounting1,16.7904409,
101,RLRAM,2,0,14.27881669,p_1,0.5,running,11,1_check_request,,12admin1,14.43358688,
102,RLRAM,2,0,14.43358688,p_1,0.5,gateway,11,1_XOR_admin_decision,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
103,RLRAM,2,0,14.43358688,p_2,0.5,running,12,2_submit_request,,1employee,14.4612231,
104,RLRAM,2,0,14.4612231,p_2,0.5,running,12,2_check_request,,12admin1,15.75283971,
105,RLRAM,2,0,14.76087291,p_1,0.5,gateway,9,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
106,RLRAM,2,0,14.76087291,p_1,0.5,running,11,1_check_budget_approval,,1X_SHARED,14.76736804,
107,RLRAM,2,0,14.76087291,p_1,0.5,running,9,1_supervisor_approve,,1supervisor2,16.23742121,
108,RLRAM,2,0,14.76736804,p_1,0.5,gateway,11,1_XOR_budget_check,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
109,RLRAM,2,0,14.76736804,p_1,0.5,running,11,1_budget_approve,,X_SHARED,14.83016936,
110,RLRAM,2,0,14.83016936,p_1,0.5,running,11,1_supervisor_approve,,X_SHARED,14.8588946,
111,RLRAM,2,0,14.8588946,p_1,0.5,running,11,1_handle_payment,,X_SHARED,15.26001191,
112,RLRAM,2,0,15.26001191,p_1,0.5,gateway,11,1_XOR_payment_check,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
113,RLRAM,2,0,15.26001191,p_1,0.5,COMPLETE,11,1_END,,,,2.070031025
114,RLRAM,2,0,15.75283971,p_2,0.5,gateway,12,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
115,RLRAM,2,0,15.75283971,p_2,0.5,running,12,2_check_budget_approval,,X_SHARED,16.35079391,
116,RLRAM,2,0,15.77146968,p_2,0.5,START,13,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
117,RLRAM,2,0,15.78453616,p_2,0.5,running,13,2_submit_request,,1employee1,16.04900512,
118,RLRAM,2,0,15.78453616,p_2,0.5,running,10,2_check_request,,12admin1,16.80934158,
119,RLRAM,2,0,16.04900512,p_2,0.5,running,13,2_check_request,,112admin0,16.32360052,
120,RLRAM,2,0,16.23742121,p_1,0.5,running,9,1_handle_payment,,12accounting0,19.6800523,
121,RLRAM,2,0,16.31489053,p_1,0.5,START,14,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
122,RLRAM,2,0,16.31489053,p_1,0.5,running,14,1_submit_request,,1employee1,17.10969854,
123,RLRAM,2,0,16.32360052,p_2,0.5,gateway,13,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
124,RLRAM,2,0,16.35079391,p_2,0.5,gateway,12,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
125,RLRAM,2,0,16.35079391,p_2,0.5,running,13,2_check_budget_approval,,X_SHARED,17.52325881,
126,RLRAM,2,0,16.35079391,p_2,0.5,running,12,2_budget_approve,,1budget_owner2,18.76940121,
127,RLRAM,2,0,16.60187369,p_2,0.5,START,15,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
128,RLRAM,2,0,16.7904409,p_1,0.5,gateway,7,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
129,RLRAM,2,0,16.7904409,p_1,0.5,COMPLETE,7,1_END,,,,10.28336596
130,RLRAM,2,0,16.80934158,p_2,0.5,gateway,10,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_handle_payment'}",,,
131,RLRAM,2,0,16.80934158,p_2,0.5,running,10,2_check_budget_approval,,112admin1,17.6289363,
132,RLRAM,2,0,17.10969854,p_2,0.5,running,15,2_submit_request,,1employee1,18.98670479,
133,RLRAM,2,0,17.10969854,p_1,0.5,running,14,1_check_request,,12admin1,18.06877559,
134,RLRAM,2,0,17.52325881,p_2,0.5,gateway,13,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
135,RLRAM,2,0,17.52325881,p_2,0.5,running,13,2_budget_approve,,X_SHARED,24.03898304,
136,RLRAM,2,0,17.6289363,p_2,0.5,gateway,10,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_handle_payment'}",,,
137,RLRAM,2,0,17.6289363,p_2,0.5,running,10,2_supervisor_approve,,1supervisor2,22.83940732,
138,RLRAM,2,0,18.06877559,p_1,0.5,gateway,14,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
139,RLRAM,2,0,18.06877559,p_1,0.5,running,14,1_check_budget_approval,,1X_SHARED,19.76839181,
140,RLRAM,2,0,18.1966579,p_2,0.5,START,16,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
141,RLRAM,2,0,18.61788509,p_2,0.5,START,17,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
142,RLRAM,2,0,18.76940121,p_2,0.5,running,16,2_submit_request,,1employee,20.76204613,
143,RLRAM,2,0,18.76940121,p_2,0.5,running,12,2_supervisor_approve,,1supervisor1,19.5584815,
144,RLRAM,2,0,18.98670479,p_2,0.5,running,17,2_submit_request,,1employee1,19.50913447,
145,RLRAM,2,0,18.98670479,p_2,0.5,running,15,2_check_request,,12admin1,24.03305611,
146,RLRAM,2,0,19.14829388,p_1,0.5,START,18,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
147,RLRAM,2,0,19.27439935,p_2,0.5,START,19,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
148,RLRAM,2,0,19.36589664,p_1,0.5,START,20,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
149,RLRAM,2,0,19.50913447,p_1,0.5,running,18,1_submit_request,,1employee1,20.94569873,
150,RLRAM,2,0,19.50913447,p_2,0.5,running,17,2_check_request,,112admin0,19.73182678,
151,RLRAM,2,0,19.5584815,p_2,0.5,running,12,2_handle_payment,,12accounting1,29.27410298,
152,RLRAM,2,0,19.6800523,p_1,0.5,gateway,9,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
153,RLRAM,2,0,19.6800523,p_1,0.5,COMPLETE,9,1_END,,,,9.945426025
154,RLRAM,2,0,19.73182678,p_2,0.5,gateway,17,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
155,RLRAM,2,0,19.73182678,p_2,0.5,running,17,2_check_budget_approval,,112admin1,20.99736363,
156,RLRAM,2,0,19.76839181,p_1,0.5,gateway,14,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
157,RLRAM,2,0,19.76839181,p_1,0.5,running,14,1_supervisor_approve,,1supervisor1,20.06335242,
158,RLRAM,2,0,20.06335242,p_1,0.5,running,14,1_handle_payment,,12accounting0,20.47200692,
159,RLRAM,2,0,20.47200692,p_1,0.5,gateway,14,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
160,RLRAM,2,0,20.47200692,p_1,0.5,COMPLETE,14,1_END,,,,4.157116387
161,RLRAM,2,0,20.62905671,p_1,0.5,START,21,1_start,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
162,RLRAM,2,0,20.76204613,p_2,0.5,running,19,2_submit_request,,1employee,24.30956293,
163,RLRAM,2,0,20.76204613,p_2,0.5,running,16,2_check_request,,112admin0,21.05907244,
164,RLRAM,2,0,20.94569873,p_1,0.5,running,20,1_submit_request,,1employee1,21.8902912,
165,RLRAM,2,0,20.94569873,p_1,0.5,running,18,1_check_request,,1X_SHARED,21.19113713,
166,RLRAM,2,0,20.99736363,p_2,0.5,gateway,17,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_END'}",,,
167,RLRAM,2,0,20.99736363,p_2,0.5,running,17,2_supervisor_approve,,1supervisor1,22.44530061,
168,RLRAM,2,0,21.05907244,p_2,0.5,gateway,16,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
169,RLRAM,2,0,21.19113713,p_1,0.5,gateway,18,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
170,RLRAM,2,0,21.19113713,p_2,0.5,running,16,2_check_budget_approval,,112admin1,23.14242952,
171,RLRAM,2,0,21.19113713,p_1,0.5,running,18,1_check_budget_approval,,1X_SHARED,21.2589152,
172,RLRAM,2,0,21.2589152,p_1,0.5,gateway,18,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
173,RLRAM,2,0,21.8902912,p_1,0.5,running,21,1_submit_request,,1employee1,26.74456834,
174,RLRAM,2,0,21.8902912,p_1,0.5,running,20,1_check_request,,1X_SHARED,26.8815727,
175,RLRAM,2,0,22.83940732,p_1,0.5,running,18,1_supervisor_approve,,1supervisor1,23.68794663,
176,RLRAM,2,0,22.83940732,p_2,0.5,running,10,2_handle_payment,,12accounting0,25.94134738,
177,RLRAM,2,0,23.14242952,p_2,0.5,gateway,16,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
178,RLRAM,2,0,23.14242952,p_2,0.5,running,16,2_budget_approve,,1budget_owner2,23.78631833,
179,RLRAM,2,0,23.78631833,p_2,0.5,running,16,2_supervisor_approve,,1supervisor1,23.87897177,
180,RLRAM,2,0,24.03305611,p_2,0.5,gateway,15,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
181,RLRAM,2,0,24.03305611,p_2,0.5,running,15,2_check_budget_approval,,112admin1,24.50269325,
182,RLRAM,2,0,24.03898304,p_1,0.5,running,18,1_handle_payment,,X_SHARED,24.61556494,
183,RLRAM,2,0,24.03898304,p_2,0.5,running,13,2_supervisor_approve,,1supervisor2,25.21430645,
184,RLRAM,2,0,24.30956293,p_2,0.5,running,19,2_check_request,,12admin1,24.88600668,
185,RLRAM,2,0,24.50269325,p_2,0.5,gateway,15,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
186,RLRAM,2,0,24.50269325,p_2,0.5,running,15,2_supervisor_approve,,1supervisor1,26.64195124,
187,RLRAM,2,0,24.61556494,p_1,0.5,gateway,18,1_XOR_payment_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
188,RLRAM,2,0,24.61556494,p_1,0.5,COMPLETE,18,1_END,,,,5.467271065
189,RLRAM,2,0,24.88600668,p_2,0.5,gateway,19,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
190,RLRAM,2,0,24.88600668,p_2,0.5,running,19,2_check_budget_approval,,112admin1,26.01830939,
191,RLRAM,2,0,25.57271012,p_1,0.5,START,22,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
192,RLRAM,2,0,25.57271012,p_1,0.5,running,22,1_submit_request,,1employee,26.86130157,
193,RLRAM,2,0,25.94134738,p_2,0.5,gateway,10,2_XOR_payment_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_budget_approve', '3_final_payment_check': '2_handle_payment'}",,,
194,RLRAM,2,0,25.94134738,p_2,0.5,COMPLETE,10,2_END,,,,13.78201905
